a_index	a_enable	a_name	a_name	a_name	a_name
71	0	Rough Mythril	Rough Mythril	Rough Mythril	Rough Mythril
72	0	Uranium Ore	Uranium Ore	Uranium Ore	Uranium Ore
73	0	Circuit Part	Circuit Part	Circuit Part	Circuit Part
74	0	Natural Uranium	Natural Uranium	Natural Uranium	Natural Uranium
75	0	Iron	Iron	Iron	Iron
76	0	Xeno Metal	Xeno Metal	Xeno Metal	Xeno Metal
77	0	Brion	Brion	Brion	Brion
78	0	Ori Crystal	Ori Crystal	Ori Crystal	Ori Crystal
79	0	Mythril	Mythril	Mythril	Mythril
80	0	Mythharcon	Mythharcon	Mythharcon	Mythharcon
81	0	Power Kit	Power Kit	Power Kit	Power Kit
82	0	Plutonium Pack	Plutonium Pack	Plutonium Pack	Plutonium Pack
83	0	Running Shirt	Running Shirt	Running Shirt	Running Shirt
84	0	Red Bra	Red Bra	Red Bra	Red Bra
85	0	Red Shirt	Red Shirt	Red Shirt	Red Shirt
86	0	T-Shirt	T-Shirt	T-Shirt	T-Shirt
87	0	Leather Jacket	Leather Jacket	Leather Jacket	Leather Jacket
88	0	Battle Suit	Battle Suit	Battle Suit	Battle Suit
89	0	Red Underpants	Red Underpants	Red Underpants	Red Underpants
90	0	Blue Jeans	Blue Jeans	Blue Jeans	Blue Jeans
91	0	Leather Pants	Leather Pants	Leather Pants	Leather Pants
92	0	Battle Pants	Battle Pants	Battle Pants	Battle Pants
93	0	Gold Ore	Gold Ore	Gold Ore	Gold Ore
94	0	Bone Piece	Bone Piece	Bone Piece	Bone Piece
95	0	Dragon Scale	Dragon Scale	Dragon Scale	Dragon Scale
96	0	Gold Lump	Gold Lump	Gold Lump	Gold Lump
97	0	Mythril Helmet	Mythril Helmet	Mythril Helmet	Mythril Helmet
98	0	Dark Sunglasses	Dark Sunglasses	Dark Sunglasses	Dark Sunglasses
99	0	Kevlar Helmet	Kevlar Helmet	Kevlar Helmet	Kevlar Helmet
100	0	Newspaper Hat	Newspaper Hat	Newspaper Hat	Newspaper Hat
101	0	Red Hairband	Red Hairband	Red Hairband	Red Hairband
102	0	Baseball Cap	Baseball Cap	Baseball Cap	Baseball Cap
103	0	Leather Cap	Leather Cap	Leather Cap	Leather Cap
104	0	Battle Helmet	Battle Helmet	Battle Helmet	Battle Helmet
105	1	Golden Armor	Golden Armor	Golden Armor	Golden Armor
106	0	Mythril Armor	Mythril Armor	Mythril Armor	Mythril Armor
107	0	Light Armorset	Light Armorset	Light Armorset	Light Armorset
108	0	Kevlar Jacket	Kevlar Jacket	Kevlar Jacket	Kevlar Jacket
109	1	Xeno Pants	Xeno Pants	Xeno Pants	Xeno Pants
110	1	Brince Pants	Brince Pants	Brince Pants	Brince Pants
111	1	Iron Pants	Iron Pants	Iron Pants	Iron Pants
112	0	Chain Pants	Chain Pants	Chain Pants	Chain Pants
113	1	Bone Protector	Bone Protector	Bone Protector	Bone Protector
115	1	Hell Pants	Hell Pants	Hell Pants	Hell Pants
116	1	Hell Pants	Hell Pants	Hell Pants	Hell Pants
117	0	Mythril Pants	Mythril Pants	Mythril Pants	Mythril Pants
118	0	Light Pants	Light Pants	Light Pants	Light Pants
119	0	Kevlar Pants	Kevlar Pants	Kevlar Pants	Kevlar Pants
120	0	Dragon Shield	Dragon Shield	Dragon Shield	Dragon Shield
121	1	Golden Shield	Golden Shield	Golden Shield	Golden Shield
122	0	Mythril Shield	Mythril Shield	Mythril Shield	Mythril Shield
123	0	Laser Shield	Laser Shield	Laser Shield	Laser Shield
124	0	Kevlar Gloves	Kevlar Gloves	Kevlar Gloves	Kevlar Gloves
125	0	Master Cloak	Master Cloak	Master Cloak	Master Cloak
126	0	Soldier Cloak	Soldier Cloak	Soldier Cloak	Soldier Cloak
127	0	X-Shaped Armor	X-Shaped Armor	X-Shaped Armor	X-Shaped Armor
128	0	Belly Protector	Belly Protector	Belly Protector	Belly Protector
132	0	Power Gun	Power Gun	Power Gun	Power Gun
133	1	Healing Potion	Healing Potion	Healing Potion	Healing Potion
134	0	Sham Lightsaber	Sham Lightsaber	Sham Lightsaber	Sham Lightsaber
136	1	Bone Boots	Bone Boots	Bone Boots	Bone Boots
137	1	Golden Boots	Golden Boots	Golden Boots	Golden Boots
138	1	Hell Boots	Hell Boots	Hell Boots	Hell Boots
139	0	Box Sample	Box Sample	Box Sample	Box Sample
140	1	Small Healing Potion	Small Healing Potion	Small Healing Potion	Small Healing Potion
142	1	Wolf Meat	Wolf Meat	Wolf Meat	Wolf Meat
143	1	Tiger Meat	Tiger Meat	Tiger Meat	Tiger Meat
144	1	Stamina Potion	Stamina Potion	Stamina Potion	Stamina Potion
145	1	Recovery Potion	Recovery Potion	Recovery Potion	Recovery Potion
146	1	Small Mana Potion	Small Mana Potion	Small Mana Potion	Small Mana Potion
147	1	Mana Potion	Mana Potion	Mana Potion	Mana Potion
148	1	Xeno Shoes	Xeno Shoes	Xeno Shoes	Xeno Shoes
149	1	Brince Shoes	Brince Shoes	Brince Shoes	Brince Shoes
150	1	Golden Sword	Golden Sword	Golden Sword	Golden Sword
151	1	Great Sword	Great Sword	Great Sword	Great Sword
152	1	Blue Crystal Sword	Blue Crystal Sword	Blue Crystal Sword	Blue Crystal Sword
153	0	Dark Sword	Dark Sword	Dark Sword	Dark Sword
154	1	Righteous Blade	Righteous Blade	Righteous Blade	Righteous Blade
155	1	Big Bulkan Axe	Big Bulkan Axe	Big Bulkan Axe	Big Bulkan Axe
156	1	Double Edge Axe	Double Edge Axe	Double Edge Axe	Double Edge Axe
157	1	Warrior Axe	Warrior Axe	Warrior Axe	Warrior Axe
158	1	Darkness Axe	Darkness Axe	Darkness Axe	Darkness Axe
159	1	King Staff	King Staff	King Staff	King Staff
160	1	One-eyed Staff	One-eyed Staff	One-eyed Staff	One-eyed Staff
161	1	Skeleton Staff	Skeleton Staff	Skeleton Staff	Skeleton Staff
162	1	Broad Sword	Broad Sword	Broad Sword	Broad Sword
163	1	Curved Blade	Curved Blade	Curved Blade	Curved Blade
164	0	Mana Stone1	Mana Stone1	Mana Stone1	Mana Stone1
165	0	Mana Stone2	Mana Stone2	Mana Stone2	Mana Stone2
167	1	Wooden Horn Axe	Wooden Horn Axe	Wooden Horn Axe	Wooden Horn Axe
168	1	Short Sword	Short Sword	Short Sword	Short Sword
169	1	Eagle Staff	Eagle Staff	Eagle Staff	Eagle Staff
170	1	God Staff	God Staff	God Staff	God Staff
171	1	Red Staff	Red Staff	Red Staff	Red Staff
172	1	LostRealm Castle Warp	LostRealm Castle Warp	LostRealm Castle Warp	LostRealm Castle Warp
173	1	BUF Agency Warp	BUF Agency Warp	BUF Agency Warp	BUF Agency Warp
174	1	KALLI Agency Warp	KALLI Agency Warp	KALLI Agency Warp	KALLI Agency Warp
175	1	Return to Town	Return to Town	Return to Town	Return to Town
176	1	Green Crystal Sword	Green Crystal Sword	Green Crystal Sword	Green Crystal Sword
177	1	Red Crystal Sword	Red Crystal Sword	Red Crystal Sword	Red Crystal Sword
178	1	Darkness Sword	Darkness Sword	Darkness Sword	Darkness Sword
179	1	Warrior Axe	Warrior Axe	Warrior Axe	Warrior Axe
180	1	Power Axe	Power Axe	Power Axe	Power Axe
181	1	Evil Staff	Evil Staff	Evil Staff	Evil Staff
182	1	Esmeralda Staff	Esmeralda Staff	Esmeralda Staff	Esmeralda Staff
183	1	Xeno Helmet	Xeno Helmet	Xeno Helmet	Xeno Helmet
184	1	Xeno Armor	Xeno Armor	Xeno Armor	Xeno Armor
185	1	Xeno Pants	Xeno Pants	Xeno Pants	Xeno Pants
186	1	Xene Boots	Xene Boots	Xene Boots	Xene Boots
187	1	Brince Shield	Brince Shield	Brince Shield	Brince Shield
188	1	Xeno Shield	Xeno Shield	Xeno Shield	Xeno Shield
189	1	Skull Shield	Skull Shield	Skull Shield	Skull Shield
190	1	Hell Shield	Hell Shield	Hell Shield	Hell Shield
191	1	Tiger Mantle	Tiger Mantle	Tiger Mantle	Tiger Mantle
192	1	Hurricane Cloak	Hurricane Cloak	Hurricane Cloak	Hurricane Cloak
193	1	Peace Mantle	Peace Mantle	Peace Mantle	Peace Mantle
194	1	Wiseman Mantle	Wiseman Mantle	Wiseman Mantle	Wiseman Mantle
195	1	Darkness Mantle	Darkness Mantle	Darkness Mantle	Darkness Mantle
196	1	Ancient Mantle	Ancient Mantle	Ancient Mantle	Ancient Mantle
197	1	Blood Mantle	Blood Mantle	Blood Mantle	Blood Mantle
198	1	Sun Mantle	Sun Mantle	Sun Mantle	Sun Mantle
199	1	Veteran Mantle	Veteran Mantle	Veteran Mantle	Veteran Mantle
200	1	Golden Mantle	Golden Mantle	Golden Mantle	Golden Mantle
201	0	Chicken Meat	Chicken Meat	Chicken Meat	Chicken Meat
202	0	Dog Meat	Dog Meat	Dog Meat	Dog Meat
203	1	Air Hand Gun	Air Hand Gun	Air Hand Gun	Air Hand Gun
204	1	Shot Gun	Shot Gun	Shot Gun	Shot Gun
205	1	Battle Jacket	Battle Jacket	Battle Jacket	Battle Jacket
206	1	Battle Helmet	Battle Helmet	Battle Helmet	Battle Helmet
207	1	Battle Pants	Battle Pants	Battle Pants	Battle Pants
208	1	Battle Boots	Battle Boots	Battle Boots	Battle Boots
209	1	Mini Cell	Mini Cell	Mini Cell	Mini Cell
210	1	Battery	Battery	Battery	Battery
211	1	Charging Pack	Charging Pack	Charging Pack	Charging Pack
212	1	Sonic Sword	Sonic Sword	Sonic Sword	Sonic Sword
213	1	Star Axe	Star Axe	Star Axe	Star Axe
214	1	Brassiere	Brassiere	Brassiere	Brassiere
215	1	Ametista Bruta	Ametista Bruta	Ametista Bruta	Ametista Bruta
216	1	Topazioio Bruto	Topazioio Bruto	Topazioio Bruto	Topazioio Bruto
217	1	Opalaa Bruto	Opalaa Bruto	Opalaa Bruto	Opalaa Bruto
218	1	Safira Bruta	Safira Bruta	Safira Bruta	Safira Bruta
219	1	Rubi Bruto	Rubi Bruto	Rubi Bruto	Rubi Bruto
220	1	Esmeralda Bruta	Esmeralda Bruta	Esmeralda Bruta	Esmeralda Bruta
221	1	Diamante Bruto	Diamante Bruto	Diamante Bruto	Diamante Bruto
222	1	Ametista	Ametista	Ametista	Ametista
223	1	Topazio	Topazio	Topazio	Topazio
224	1	Opala	Opala	Opala	Opala
225	1	Safira	Safira	Safira	Safira
226	1	Rubi	Rubi	Rubi	Rubi
227	1	Esmeralda	Esmeralda	Esmeralda	Esmeralda
228	1	Diamante	Diamante	Diamante	Diamante
229	1	Gem Cutting Kit	Gem Cutting Kit	Gem Cutting Kit	Gem Cutting Kit
230	1	Brino Helmet	Brino Helmet	Brino Helmet	Brino Helmet
231	1	Pahwang Helmet	Pahwang Helmet	Pahwang Helmet	Pahwang Helmet
232	1	KwangPoc Helmet	KwangPoc Helmet	KwangPoc Helmet	KwangPoc Helmet
233	1	Power Helmet	Power Helmet	Power Helmet	Power Helmet
234	1	Black Knight Helmet	Black Knight Helmet	Black Knight Helmet	Black Knight Helmet
235	1	Brino Armor	Brino Armor	Brino Armor	Brino Armor
236	1	Pahwang Armor	Pahwang Armor	Pahwang Armor	Pahwang Armor
237	1	Kwangpoc Armor	Kwangpoc Armor	Kwangpoc Armor	Kwangpoc Armor
238	1	Power Armor	Power Armor	Power Armor	Power Armor
239	1	Black Knight Armor	Black Knight Armor	Black Knight Armor	Black Knight Armor
240	1	Brino Pants	Brino Pants	Brino Pants	Brino Pants
241	1	Pahwang Pants	Pahwang Pants	Pahwang Pants	Pahwang Pants
242	1	Kwangpoc Pants	Kwangpoc Pants	Kwangpoc Pants	Kwangpoc Pants
243	1	Power Pants	Power Pants	Power Pants	Power Pants
244	1	Black Knight Pants	Black Knight Pants	Black Knight Pants	Black Knight Pants
245	1	Brino Boots	Brino Boots	Brino Boots	Brino Boots
246	1	Pahwang Boots	Pahwang Boots	Pahwang Boots	Pahwang Boots
247	1	Kwangpoc Boots	Kwangpoc Boots	Kwangpoc Boots	Kwangpoc Boots
248	1	Power Boots	Power Boots	Power Boots	Power Boots
249	1	Black Knight Boots	Black Knight Boots	Black Knight Boots	Black Knight Boots
250	1	Saber	Saber	Saber	Saber
251	1	Oriental Sword	Oriental Sword	Oriental Sword	Oriental Sword
252	1	Warrior Sword	Warrior Sword	Warrior Sword	Warrior Sword
253	1	Karma Blade	Karma Blade	Karma Blade	Karma Blade
254	1	Expulsion	Expulsion	Expulsion	Expulsion
255	1	Triple Horn Axe	Triple Horn Axe	Triple Horn Axe	Triple Horn Axe
256	1	Heavy Axe	Heavy Axe	Heavy Axe	Heavy Axe
257	1	Lion Axe	Lion Axe	Lion Axe	Lion Axe
258	1	Battle Axe	Battle Axe	Battle Axe	Battle Axe
259	1	Vampire Axe	Vampire Axe	Vampire Axe	Vampire Axe
260	1	Monk Cap	Monk Cap	Monk Cap	Monk Cap
261	1	Fur Cap	Fur Cap	Fur Cap	Fur Cap
262	1	Red Silk Cap	Red Silk Cap	Red Silk Cap	Red Silk Cap
263	1	Force Cap	Force Cap	Force Cap	Force Cap
264	1	Marine Cap	Marine Cap	Marine Cap	Marine Cap
265	1	Bulletproof Helmet	Bulletproof Helmet	Bulletproof Helmet	Bulletproof Helmet
266	1	Monk Shirt	Monk Shirt	Monk Shirt	Monk Shirt
267	1	Fur Shirt	Fur Shirt	Fur Shirt	Fur Shirt
268	1	Red Silk Wear	Red Silk Wear	Red Silk Wear	Red Silk Wear
269	1	Force Wear	Force Wear	Force Wear	Force Wear
270	1	Marine Suit	Marine Suit	Marine Suit	Marine Suit
271	1	Kevlar Shirt	Kevlar Shirt	Kevlar Shirt	Kevlar Shirt
272	1	Monk Pants	Monk Pants	Monk Pants	Monk Pants
273	1	Fur Pants	Fur Pants	Fur Pants	Fur Pants
274	1	Red Silk Legs	Red Silk Legs	Red Silk Legs	Red Silk Legs
275	1	Force Trousers	Force Trousers	Force Trousers	Force Trousers
276	1	Marine Pants	Marine Pants	Marine Pants	Marine Pants
277	1	Kevlar Legs	Kevlar Legs	Kevlar Legs	Kevlar Legs
278	1	Monk Shoes	Monk Shoes	Monk Shoes	Monk Shoes
279	1	Fur Shoes	Fur Shoes	Fur Shoes	Fur Shoes
280	1	Red Silk Shoes	Red Silk Shoes	Red Silk Shoes	Red Silk Shoes
281	1	Force Shoes	Force Shoes	Force Shoes	Force Shoes
282	1	Marine Shoes	Marine Shoes	Marine Shoes	Marine Shoes
283	1	Kevlar Shoes	Kevlar Shoes	Kevlar Shoes	Kevlar Shoes
284	1	Mystery Staff	Mystery Staff	Mystery Staff	Mystery Staff
285	1	Fan Staff	Fan Staff	Fan Staff	Fan Staff
286	1	Machine Gun	Machine Gun	Machine Gun	Machine Gun
287	1	Bio Rifle	Bio Rifle	Bio Rifle	Bio Rifle
288	1	Large Healing Potion	Large Healing Potion	Large Healing Potion	Large Healing Potion
289	1	Large Mana Potion	Large Mana Potion	Large Mana Potion	Large Mana Potion
290	1	Large Stamina Potion	Large Stamina Potion	Large Stamina Potion	Large Stamina Potion
291	1	Large Electric Potion	Large Electric Potion	Large Electric Potion	Large Electric Potion
292	1	Sharp Staff	Sharp Staff	Sharp Staff	Sharp Staff
293	1	Ancient Staff	Ancient Staff	Ancient Staff	Ancient Staff
294	1	Gold Jade Staff	Gold Jade Staff	Gold Jade Staff	Gold Jade Staff
295	1	Anel Staff	Anel Staff	Anel Staff	Anel Staff
296	1	Mighty Staff	Mighty Staff	Mighty Staff	Mighty Staff
297	1	Songpyun	Songpyun	Songpyun	Songpyun
298	1	Bam	Bam	Bam	Bam
299	1	Daechu	Daechu	Daechu	Daechu
300	1	Jat	Jat	Jat	Jat
301	1	Korean Wear	Korean Wear	Korean Wear	Korean Wear
303	1	Korean Pants	Korean Pants	Korean Pants	Korean Pants
305	1	Plasma Rifle	Plasma Rifle	Plasma Rifle	Plasma Rifle
306	1	Pascal Rifle	Pascal Rifle	Pascal Rifle	Pascal Rifle
307	1	Laglamia Square Warp	Laglamia Square Warp	Laglamia Square Warp	Laglamia Square Warp
308	1	Coliseum Warp	Coliseum Warp	Coliseum Warp	Coliseum Warp
309	1	Hair Band	Hair Band	Hair Band	Hair Band
310	1	Warrior Helmet	Warrior Helmet	Warrior Helmet	Warrior Helmet
311	1	Iron Helmet	Iron Helmet	Iron Helmet	Iron Helmet
312	1	Xeno Helmet	Xeno Helmet	Xeno Helmet	Xeno Helmet
313	1	Brino Helmet	Brino Helmet	Brino Helmet	Brino Helmet
314	1	Xeno Metal Helmet	Xeno Metal Helmet	Xeno Metal Helmet	Xeno Metal Helmet
315	1	Pahwang Helmet	Pahwang Helmet	Pahwang Helmet	Pahwang Helmet
316	1	Power Metal Helmet	Power Metal Helmet	Power Metal Helmet	Power Metal Helmet
317	1	Hurricane Hat	Hurricane Hat	Hurricane Hat	Hurricane Hat
318	1	Cloud Cap	Cloud Cap	Cloud Cap	Cloud Cap
319	1	Tranquility Hat	Tranquility Hat	Tranquility Hat	Tranquility Hat
320	1	Marsh Turban	Marsh Turban	Marsh Turban	Marsh Turban
321	1	Flame Crown	Flame Crown	Flame Crown	Flame Crown
322	1	Marine Cap	Marine Cap	Marine Cap	Marine Cap
325	1	Warrior Armor	Warrior Armor	Warrior Armor	Warrior Armor
326	1	Leather Jacket	Leather Jacket	Leather Jacket	Leather Jacket
327	1	Iron Armor	Iron Armor	Iron Armor	Iron Armor
328	1	Xeno Armor	Xeno Armor	Xeno Armor	Xeno Armor
329	1	Brino Armor	Brino Armor	Brino Armor	Brino Armor
330	1	Xeno Metal Armor	Xeno Metal Armor	Xeno Metal Armor	Xeno Metal Armor
331	1	Pahwang Armor	Pahwang Armor	Pahwang Armor	Pahwang Armor
332	1	Power Metal Armor	Power Metal Armor	Power Metal Armor	Power Metal Armor
333	1	Hurricane Armor	Hurricane Armor	Hurricane Armor	Hurricane Armor
334	1	Cloud Ware	Cloud Ware	Cloud Ware	Cloud Ware
335	1	Tranquil Shirt	Tranquil Shirt	Tranquil Shirt	Tranquil Shirt
336	1	Marsh Ware	Marsh Ware	Marsh Ware	Marsh Ware
337	1	Flame Shirt	Flame Shirt	Flame Shirt	Flame Shirt
338	1	Marine Suit	Marine Suit	Marine Suit	Marine Suit
339	1	Scout Suit	Scout Suit	Scout Suit	Scout Suit
340	1	Kevlar Suit	Kevlar Suit	Kevlar Suit	Kevlar Suit
341	1	Infantry Suit	Infantry Suit	Infantry Suit	Infantry Suit
342	1	Heavy Suit	Heavy Suit	Heavy Suit	Heavy Suit
343	1	Leather Pants	Leather Pants	Leather Pants	Leather Pants
344	1	Warrior Pants	Warrior Pants	Warrior Pants	Warrior Pants
345	1	Iron Pants	Iron Pants	Iron Pants	Iron Pants
346	1	Xeno Pants	Xeno Pants	Xeno Pants	Xeno Pants
347	1	Brino Pants	Brino Pants	Brino Pants	Brino Pants
348	1	Xeno Metal Pants	Xeno Metal Pants	Xeno Metal Pants	Xeno Metal Pants
349	1	Pahwang Pants	Pahwang Pants	Pahwang Pants	Pahwang Pants
350	1	Power Metal Pants	Power Metal Pants	Power Metal Pants	Power Metal Pants
351	1	Hurricane Skirt	Hurricane Skirt	Hurricane Skirt	Hurricane Skirt
352	1	Cloud Pants	Cloud Pants	Cloud Pants	Cloud Pants
353	1	Tranquil Skirt	Tranquil Skirt	Tranquil Skirt	Tranquil Skirt
354	1	Marsh Skirt	Marsh Skirt	Marsh Skirt	Marsh Skirt
355	1	Flame Skirt	Flame Skirt	Flame Skirt	Flame Skirt
356	1	Marine Pants	Marine Pants	Marine Pants	Marine Pants
357	1	Scout Pants	Scout Pants	Scout Pants	Scout Pants
358	1	Kevlar Pants	Kevlar Pants	Kevlar Pants	Kevlar Pants
359	1	Infantry Pants	Infantry Pants	Infantry Pants	Infantry Pants
360	1	Heavy Pants	Heavy Pants	Heavy Pants	Heavy Pants
361	1	Scout Helmet	Scout Helmet	Scout Helmet	Scout Helmet
362	1	Bulletproof Helmet	Bulletproof Helmet	Bulletproof Helmet	Bulletproof Helmet
363	1	Infantry Helmet	Infantry Helmet	Infantry Helmet	Infantry Helmet
364	1	Heavy Helmet	Heavy Helmet	Heavy Helmet	Heavy Helmet
365	1	Leather Boots	Leather Boots	Leather Boots	Leather Boots
366	1	Warrior Boots	Warrior Boots	Warrior Boots	Warrior Boots
367	1	Iron Boots	Iron Boots	Iron Boots	Iron Boots
368	1	Xeno Shoes	Xeno Shoes	Xeno Shoes	Xeno Shoes
369	1	Brino Shoes	Brino Shoes	Brino Shoes	Brino Shoes
370	1	Xeno Metal Boots	Xeno Metal Boots	Xeno Metal Boots	Xeno Metal Boots
371	1	Pahwang Boots	Pahwang Boots	Pahwang Boots	Pahwang Boots
372	1	Power Metal Boots	Power Metal Boots	Power Metal Boots	Power Metal Boots
373	1	Hurricane Shoes	Hurricane Shoes	Hurricane Shoes	Hurricane Shoes
374	1	Cloud Shoes	Cloud Shoes	Cloud Shoes	Cloud Shoes
375	1	Tranquil Shoes	Tranquil Shoes	Tranquil Shoes	Tranquil Shoes
376	1	Marsh Shoes	Marsh Shoes	Marsh Shoes	Marsh Shoes
377	1	Flame Shoes	Flame Shoes	Flame Shoes	Flame Shoes
378	1	Marine Shoes	Marine Shoes	Marine Shoes	Marine Shoes
379	1	Scout Shoes	Scout Shoes	Scout Shoes	Scout Shoes
380	1	Kevlar Boots	Kevlar Boots	Kevlar Boots	Kevlar Boots
381	1	Infantry Boots	Infantry Boots	Infantry Boots	Infantry Boots
382	1	Heavy Boots	Heavy Boots	Heavy Boots	Heavy Boots
383	1	Santa Wear	Santa Wear	Santa Wear	Santa Wear
384	1	Santa Pants	Santa Pants	Santa Pants	Santa Pants
385	1	Santa Cap	Santa Cap	Santa Cap	Santa Cap
386	1	Zazang Nudle	Zazang Nudle	Zazang Nudle	Zazang Nudle
387	1	Tensi Necklace	Tensi Necklace	Tensi Necklace	Tensi Necklace
388	1	Tency Blessing Anel	Tency Blessing Anel	Tency Blessing Anel	Tency Blessing Anel
389	0	Power Bracelet	Power Bracelet	Power Bracelet	Power Bracelet
390	1	Event [L]	Event [L]	Event [L]	Event [L]
391	1	Event [A]	Event [A]	Event [A]	Event [A]
392	1	Event [G]	Event [G]	Event [G]	Event [G]
393	1	Event [H]	Event [H]	Event [H]	Event [H]
394	1	Event [A2]	Event [A2]	Event [A2]	Event [A2]
395	1	Event [I]	Event [I]	Event [I]	Event [I]
396	1	Event [M]	Event [M]	Event [M]	Event [M]
397	0	Camera	Camera	Camera	Camera
398	0	Bio Cleanup	Bio Cleanup	Bio Cleanup	Bio Cleanup
399	0	Laghaim Watch	Laghaim Watch	Laghaim Watch	Laghaim Watch
400	0	Empty CD	Empty CD	Empty CD	Empty CD
401	0	Monitor Table	Monitor Table	Monitor Table	Monitor Table
402	0	Laghaim T-shirt	Laghaim T-shirt	Laghaim T-shirt	Laghaim T-shirt
403	0	Laghaim Novel	Laghaim Novel	Laghaim Novel	Laghaim Novel
404	0	Coupon	Coupon	Coupon	Coupon
405	0	Laghaim Cap	Laghaim Cap	Laghaim Cap	Laghaim Cap
406	1	Tency Necklace	Tency Necklace	Tency Necklace	Tency Necklace
407	1	M-99	M-99	M-99	M-99
