ID	KOREA	JAPAN	ENGLISH	THAI
45	Estilo %d	?? %d	Estilo %d	????? %d
46	Estilo 02	?? 02	Estilo 02	????? 02
47	Estilo 03	?? 03	Estilo 03	????? 03
66	Entre com seu nome	????????????	Entre com seu nome	???? ????
67	Seu nome deve ter entre 3~12 Caracteres	???4??????????????	Seu nome deve ter entre 3~12 Caracteres	????????????????????????????????? 3~12 ???????? 
68	Nao deixe espaco entre as Letras do nome do seu personagem	??????????????	Nao deixe espaco entre as Letras do nome do seu personagem	??????????????????????????????????????
69	Voce nao pode usar ` no nome do seu personagem	????????????	Voce nao pode usar ` no nome do seu personagem	????????????????????? ' ???????????????????
70	Voce nao pode usar'%s No Nome do seu personagem	"???""%s""???????"	Voce nao pode usar'%s No Nome do seu personagem	????????????????????? %s ???????????????????
71	Este Nome esta em uso por outro Jogador	???????????????????	Este nome esta em uso por outro Jogador	????????????????????????????????
72	Gestao	GM	Gestao	GM
73	Laghaim	Laghaim	Laghaim	Laghaim
74	Laghaim	?????	Laghaim	Laghaim
75	*PM*	*???*	*PM*	*PM*
76	*GUILD*	*GUILD*	*GUILD*	*GUILD*
77	*Grupo*	*Grupo*	*Grupo*	*Grupo*
78	GM	LGAHIM	GM	GM
79	*GM*	gm	*GM*	*GM*
80	GameMaster	Gm	GameMaster	Game Master
81	O total de forca e inferior ao nivel Basico da Habilidade (80)	?????(80)???????????	O total de forca e inferior ao nivel Basico da Habilidade (80)	??? Forca ??????????????????? (80)
82	Aldeia de Bulkan	??????	Aldeia De Bulkan	??????????? ???? Bulkan
83	Aldeia de Kalipton	????????	Aldeia De Kalipton	??????????? ???? Kailipton
84	Aldeia de Aidia	???????	Aldeia de Aidia	??????????? ???? Aidia
85	Aldeia de Humano	???????	Aldeia de Humano	??????????? ???? Humano
86	Selecione qual aldeia que quer jogar	???????????????	Selecione qual aldeia que quer jogar	???????????????????????
87	Digite a quantia	????????????	Digite a quantia	?????????
88	Nao deixe espaco entre os numeros	?????????????????????	Nao deixe espaco entre os numeros	???????????????????????????
89	Digite apenas numeros	????????????????????????	Digite apenas numeros	???????????????????????
90	O Valor esta acima do limite maximo	???????????????????????	O Valor esta acima do limite maximo	?????????????????
91	Voce nao o Valor suficiente.	????????????????????	Voce nao tem o Valor suficiente.	????????? lime ??????????
92	*PM*	*???*	*PM*	*PM*
93	Seu nivel e muito Baixo	??????????	Seu Nivel e muito baixo	Nivel ??????????
94	Voce nao tem forca suficiente	?????????	Voce nao tem forca suficiente	Forca ??????????
95	Voce nao tem o suficiente	???????????????????	Voce nao tem o suficiente	????????????
96	Voce nao pode usar o escudo, porque esta segurando a arma com as duas maos	????????????????????????????	Voce nao pode usar o escudo, porque esta segurando a arma com as duas maos	??????????????????????????????????????????????????
97	Voce nao pode usar a arma com duas maos, porque esta segurando o escudo	????????????????????????????	Voce nao pode usar a arma com as duas maos, porque esta usando o escudo	????????????????????????????????? ??????????????????
98	Voce nao tem Inteligencia suficiente	?????????	Voce nao tem Inteligencia suficiente	Inteligencia ??????????
99	Voce nao pode segurar um escudo porque voce esta carregando uma arma	????????????????????????	Voce nao pode segurar um escudo porque voce esta carregando uma arma	????????????????????????????????????????
100	Voce nao pode usar uma arma arma porque voce esta segurando um escudo	????????????????????????	Voce nao pode usar uma arma arma porque voce esta segurando um escudo	?????????????????? ??????????????????
101	Nivel necessario: %d	?????: %d	Nivel necessario: %d	Nivel necessario: %d
102	Defesa: %d	???: %d	Defesa: %d	Defesa: %d
103	Defesa Magica %d%%	?????%d%%	Defesa Magica %d%%	Defesa Magica %d%%
104	Magia Usada -%d%%	????? -%d%%	Magia Usada -%d%%	Magia Usada -%d%%
105	Poder de ataque com duas maos: %d-%d	?????: %d-%d	Poder de ataque com duas mao: %d-%d	2 Hand Power : %d-%d
106	Poder de Ataque com uma mao: %d-%d	?????: %d-%d	Poder de ataque com uma mao: %d-%d	1 Hard Power : %d-%d
107	Poder de Ataque: %d-%d	??? %d-%d	Poder de Ataque: %d-%d	Poder de Ataque: %d-%d
108	Energia eletrica usada: %d	????????: %d	Energia eletrica usada: %d	Energia eletrica usada: %d
109	Muito Rapido	?????	Muito Rapido	Muito Rapido
110	Rapido	??	Rapido	Rapido
111	Devagar	??	Devagar	Devagar
112	Muito Devagar	?????	Muito Devagar	Muito Devagar
113	Normal	??	Normal	Normal
114	Velocidade de ataque: %s	????: %s	Velocidade de ataque: %s	Velocidade de ataque: %s
115	Velocidade Magica %d%% Aumenta	????%d%%??	Velocidade Magica %d%% Aumenta	Velocidade Magica %d%% Aumenta
116	Dano Magico +%d%%	????? +%d%%	Dano Magico +%d%%	Dano Magico +%d%%
117	Forca necessaria: %d	????: %d	Forca necessaria: %d	Forca necessaria: %d
118	Inteligencia necessaria: %d	????: %d	Inteligencia necessaria: %d	Inteligencia necessaria: %d
119	Destreza necessaria: %d	?????: %d	Destreza necessaria: %d	Destreza necessaria: %d
122	Off	????	Off	???
123	On	??	On	????
124	Modo de Tela Cheia	??????????	Modo de Tela Cheia	???? Tela Cheia
125	Modo de Janela	????????	Modo em Janela	???? Janela
126	Nao exibir	?????	Nao exibir	?????????
127	Apenas o meu Personagem	??????????	Apenas o meu personagem	???????????????????????
128	Apenas Jogadores	???????	Apenas Jogadores	?????????????????????
129	Todos os Jogadores	????????	Todos os Jogadores	??????????
130	Digite o Nome do outro Jogador	??????????????	Digite o Nome do outro Jogador	????? ??????????????????
131	Bulkan	????	Bulkan	Bulkan
132	Kailipton	?????	Kailipton	Kailipton
133	Aidia	?????	Aidia	Aidia
134	Humano	?????	Humano	Humano
135	Masculino	?	Masculino	Masculino
136	Femenino	?	Femenino  Femenino
137	Proximo Nivel de Habilidade: %d	????????: %d	Proximo Nivel de Habilidade: %d	Proximo Nivel de Habilidade: %d
138	Mana: %d Dano: %d Distancia: %1.f	??: %d????: %d???: %1.f	Mana: %d Dano: %d Distancia: %1.f	Mana: %d Dano: %d Distancia: %1.f
139	Mana: %d    Taxa de recuperacao: %d	??: %d  ???: %d	Mana: %d    Taxa de recuperacao: %d	Mana: %d    Taxa de recuperacao: %d
140	Mana: %d  Absorcao de Danos: %d%%	??: %d  ??????: %d%%	Mana: %d  Absorcao de Danos: %d%%	Mana: %d  Absorcao de Danos: %d%%
141	Escudo Magico: 100%% Escudo: %d%%	??????: 100%% ?????????: %d%%	Escudo Magico: 100%% Escudo: %d%%	Escudo Magico: 100%% Escudo: %d%%
142	Duracao: %d segundos, Tempo Maximo acumulado: %d segundos	????: %d?,???????: %d?	Duracao: %d segundos, Tempo Maximo acumulado: %d segundos	Duracao: %d segundos, Tempo Maximo acumulado: %d segundos
143	Taxa de Defesa: +%d	???: +%d	Taxa de Defesa: +%d	Taxa de Defesa: +%d
144	Taxa de recuperacao de Vitalidade : +%d%%	?????: +%d%%  Taxa de recuperacao de Vitalidade: +%d%%	HP  Taxa de recuperacao: +%d%%
145	Taxa de Sucesso: %d%%	???: %d%%	Taxa de Sucesso: %d%%	Taxa de Sucesso: %d%%
146	Taxa de sucesso em Refinar Joias : %d%%	???????: %d%%	Taxa de sucesso em Refinar Joias : %d%%	Taxa de sucesso em : %d%%
147	Bonus de Danos: %d%%	??????: %d%%	Bonus de Danos: %d%%	Bonus de Danos: %d%%
148	Nivel Maximo da Habilidade: %d	????????: %d	Nivel Maximo da Habilidade: %d	Nivel Maximo da Habilidade: %d
149	Acene com a mao	????	Acene com a mao	??????
150	Ola	  ??	                    Ola	  ??????
151	Beijos	?????	                Beijos	???
152	Se Curvar	???	                Se Curvar ????????? (???????)
153	Saudacao de Cavaleiro	?????	Saudacao de Cavaleiro	????????? (??????)
154	Me Desculpe	????	            Me Desculpe	???????????????
155	Dancar	???	                    Dancar	????
156	Pular	????	                Pular	??????
157	Aplausos	??	                Aplausos	??????
158	Aplausos com Alegria	?????	Aplausos com alegria	?????????????????
159	Risadas	??	                    Risadas	???????
160	Mortal	????	                Mortal	???????
162	Tapa bochecha	??	            Tapa bochecha	??????
163	Chutar	      ?????	            Chutar	???
164	Provocar   ?????	            Provocar	?????/???
165	Implorar	?????	            Implorar	????????????
166	Castigo	??????	                Castigo	?????
167	Chorar	??	                    Chorar	???????
168	Esticar e bocejar	???	        Esticar e bocejar	????????????
169	Espirrar	????	            Espirrar	???
170	Me siga	?????	                Me siga	????????
171	Venha 	???	                    Venha	?????
172	OK	OK	OK	????
173	Pense Bem	???	               Pense Bem	???????
174	Por Aquele Caminho	???	       Por aquele caminho	???????
175	Sentar	??	                   Sentar	????
176	Pressione ' ` ' para ver a janela de socializacao	??????????????????????????????????	Pressione' ` ' para ver a janela de socializacao	?????? ' ` ' ????????????????????
177	Pressione 'I' Para ver o seu inventatrio.	F1???????????????????????????????????	Pressione 'I' Para ver o seu inventatrio.	?? I  ?????????????????????
178	Pressione C  para ver sua janela de estatus.	?????????????????????????????????????????????????????????	Aperte C  para ver sua janela de estatus.	?? C ??????????????????????????
179	Pressione T  Para ver suas habilidades.	???????????????????????????????	Pressione T  Para ver suas habilidades.	?? T ??????????????????????
180	Pressione  F1 Para ajuda.	?????????????????????????????????	Press the F1 key for help.	?? F1 ???????????????????????
181	Use the Arrow keys to rotate, Aumenta or decrease the size of the screen.	????????????????????????????Enter????????????????????	Use the Arrow keys to rotate, Aumenta or decrease the size of the screen.	????????????????? ?????????/????????
182	Clique com o botao direito do mouse para se mover.	???????????????????????????????????	Clique com o botao direito do mouse para se mover.	????????????????????????????????????
183	Press the F1 key for help.	?????????????????????????????????????	Press the F1 key for help.	?? F1 ???????????????????????
184	To whisper to a player (Whispering), enter / player's ID.	????????????????????????1?6????????????	To whisper to a player (Whispering), enter / player's ID.	?????????????????????????????? ???????? / ??????????????????
185	The automatic help function will not appear after reaching Nivel 10.	??????????????????????????????????????????????	The automatic help function will not appear after reaching Nivel 10.	?????????????????????????????????????????????????Nivel 10
186	Press ESC or press the upper righthand button to exit	?????????????(1?6)????????1???????????????1????????????????	Press ESC or press the upper righthand button to exit	?????? ESC ???? ??????????????????????????????
187	F9 key will toggle the upper righthand window	??????????????????????????Alt????????Enter?????Shift??????????	F9 key will toggle the upper righthand window	???? F9 ???????????/??? ????????????????????????
188	In playing game, you can use shortcut command keys.	??NPC???????????????????????????????????	In playing game, you can use shortcut command keys.	???????????????????????????????
189	Keep good manners to others.	????????????????????????????????????????	Keep good manners to others.	??????????????????????????????????
190	If you have more questions, use bulletin board	I?????????????????????????????????	If you have more questions, use bulletin board	????????????????????????? ??????????????????????
191	Merchant Store is located at the end of Aldeia wall	?????????????????????????	Merchant Store is located at the end of Aldeia wall	??????????????????????????????????
192	Click on the Merchant to trade items	??????????????????	Click on the Merchant to trade items	??????????????????????????????????
193	Click the question mark on the upper rightharnd corner	????????7??????????????	Click the question mark on the upper rightharnd corner	?????? ? ????????????????
194	Click the potion and move into a Quick Slot.	??????????????????????????????????????	Click the potion and move into a Quick Slot.	????????????????????????? Quick slot
195	Press the F1 key for help.	???????Esc????????????????????????????????????	Press the F1 key for help.	?? F1 ???????????????????????
196	The Quick Slot is 6 quadrangles on the Chatting Window.	???????????????????????????	The Quick Slot is 6 quadrangles on the Chatting Window.	Quickslot ??? 6 ????????????????????????????
197	Quick Slot has its own number	???10??????????????????????	Quick Slot has its own number	Quickslot ?????????????????? 1-6
198	Time:%d,Coordinates(%d, %d)-(%8.2f %8.2f), Height: %6.4f Fov:%7.02f %7.02f	??:%d,??(%d, %d)-(%8.2f %8.2f),??: %6.4f Fov:%7.02f %7.02f	Time:%d,Coordinates(%d, %d)-(%8.2f %8.2f), Height: %6.4f Fov:%7.02f %7.02f	???? :%d,????? (%d,%d)-(%8.2f %8.2f), ??????? : %6.4f Fov : %7.02f %7.02f
199	Due to the detection of a Speed hacking program, the game will be ended	???????????????????????	Due to the detection of a Speed hacking program, the game will be ended	?????????????? ????????????????????????? Hack
200	This file cannot be executed.	?????????????????????	This file cannot be executed.	???????????????????????
201	Sair do Jogo	??????	Sair do Jogo	?????????
202	%s solicitou troca	%s ??????	%s solicitou troca	??????? %s ??????????????
203	%s  , solicitou entrada no Grupo	%s ????????????????	%s solicitou entrada no Grupo	??????? %s ??????????
204	You cannot use the crafting Habilidade.	??????????????	You cannot use the crafting Habilidade.	????????????????????
205	Your Nivel is not high enough. You cannot craft a gem.	????????????????????	Your Nivel is not high enough. You cannot craft a gem.	Nivel ???????????????????????????????????
206	In crafting.	????????	In crafting.	???????????
207	It is not a gemstone.	??????????	It is not a gemstone.	??????????????? Gem stone
208	Kits are not enough	????????????	Kits are not enough	??????????(Kit)??????????
209	Falha de conexao	????	Falha de conexao	???????????????????
210	Conectado	????	Conectado	?????????????
211	Desconectado do Servidor.	??????????	Desconectado do Servidor.	??????????????
212	Produzido com sucesso.	?????	Produzido com sucesso.	??????????????????????????
213	Falha ao produzir.	?????	Falha ao produzir.	??????????????????!!
214	Uma joia foi adicionada.	???????????	Uma joia foi adicionada.	??????????????????????
215	Equipamento Evoluido com sucesso	???????????	Equipamento evoluido com sucesso	Sucesso na evolucao
216	Falha na evolucao	-..- ?????????????	Falha na evolucao	evolucao falhou
217	Taxa de reuperacao de Vitalidade : %d	?????: %d	Taxa de recupercao de Vitalidade: %d	?????????????????????????? : %d
218	Taxa de recuperacao Magica: %d	????: %d	Taxa de recuperacao Magica: %d	?????????????????Mana : %d
219	Taxa de recuperacao de Forca: %d	??????: %d	Taxa de recuperacao de Forca: %d	?????????????????????????????? : %d
220	Taxa de recuperacao Poder Eletrico: %d	???????: %d	Taxa de recuperacao Poder Eletrico: %d	?????????????????????????? : %d
221	Nivel De Producao: %d	????????: %d	Nivel de Producao: %d	Nivel????? ???????? : %d
222	Necessario numeros de quits: %d	????????: %d?	Necessario Numero de Quits: %d	?????????????????????????? : %d
223	Nivel de Atualizacao: %d-%d	??????????????: %d-%d	Nivel de atualizacao: %d-%d	Nivel?????????????????????? : %d-%d
224	Preco : %d	??: %d	Preco : %d	???? : %d
225 	 Valor de venda: %d	 %d    Valor de venda:%d	 %d
226	Nao possui destreza suficiente	??????????	Nao possui destreza Suficiente	????????????????????
227	Ataque Normal	????	Ataque Normal	????????????
228	Girar a Tela	????	Girar a Tela	??????
229	Nivel Necessario para o proximo Nivel : %d	????????: %d	Nivel necessario para o proximo nivel: %d	Nivel ?????????????????????? : %d
230	Nivel da Habilidade: %d	??????: %d	Nivel da Habilidade: %d	Nivel ??????? : %d
231	Dano: +%d%%	????: +%d%%	Dano: +%d%%	Dano : +%d%%
232	You cannot leave any blank in ID/PASSWORD	?????/??????????????????	You cannot leave any blank in ID/PASSWORD	?????????????????????????? ID/PW
233	You cannot use ' in your ID/PASSWORD	?????/????????’???????	You cannot use ' in your ID/PASSWORD	????????????????????? ' ?? ID/PW
234	Large Head	????	Large Head	????? 
235	Perigo!! Um Fantasma apareceu.	??!! ???????	Perigo!! Um Fantasma apareceu.	????? ! ?????????????
236	Escolha o servidor.	?????????????????	Escolha o servidor.	Escolha o servidor.
237	Laglamia Shrine	???????	Laglamia Shrine	Laglamia Shrine
238	Coliseum	?????	Coliseum	Coliseum
239	Large Square	???	Large Square	Large Square
240	Move to World	???????	Move to World	??????????????
241	Laglamia Shrine	?????	Laglamia Shrine	Laglamia Shrine
242	Coliseum	?????	Coliseum	Coliseum
243	Large Square	???	Large Square	Large Square
244	Bulkan Aldeia	??????	Bulkan Aldeia	??????????? ???? Bulkan
245	Kailipton Aldeia	????????	Kailipton Aldeia	??????????? ???? Kailipton
246	Aidia Aldeia	???????	Aidia Aldeia	??????????? ???? Aidia
247	Humano Aldeia	???????	Humano Aldeia	??????????? ???? Humano
248	Re-distribuir Pontos	?????????	Re-distribuir Pontos	????????????
249	Os Pontos serao re-distribuidos %d	???????%d	Os Pontos serao  re-distribuidos %d	??????????????? : %d
250	Digite um valor para reiniciar.	???????	Digite um valor para reiniciar.	???? Reiniciar Estatus
251	O Valor indicado no( ) sera	???????????????????	O valor indicado no  ( ) sera	?????????????????????? ()
252	Valor Maximo!! Valor Minimo:5	( )???????????!! ???:5	Valor Maximo!! Valor Minimo:5	??????????????? ( ) ?????????? : 5
253	Forc    Int    Dex    Con    Cari	??? ??  ???  ??  ???	Forc    Int    Dex    Con    Cari	Forca Int Dex Con Cari
254	Mana: %d  Dano: %d + %d	??: %d   ?????: %d + %d	Mana: %d  Dano: %d + %d	Mana: %d  Dano: %d + %d
255	Dano Absorption: %d%%   Physical Shield: %d%%	??????: %d%%   ?????????: %d%%	Dano Absorption: %d%%   Physical Shield: %d%%	Dano Absorption: %d%%   Physical Shield: %d%%
256	Automatic weapon success rate %d%%	??????%d%%	Automatic weapon success rate %d%%	Automatic weapon success rate %d%%
257	Raca ou Genero nao compativel.	???????????	Raca ou Genero nao compativel.	????????????????? ??????????????????????
258	Apenas para Bulkan	??????	Apenas para Bulkan	?????? Bulkan ????????
259	Apenas para Kalipton	????????	Apenas para Kalipton	?????? Kailipton ????????
260	Apenas para Aidia	???????	Apenas para Aidia	?????? Aidia ????????
261	Apenas para Humano	???????	Apenas para Humano	?????? Humano ????????
262	Congratulations!!!	??????????!!!	Congratulations!!!	??????????????? !!!
263	You received an event present.	??????????	You received an event present.	???????????????????????????
264	Go to the homepage and insert your address to receive the gift	???????????	Go to the homepage and insert your address to receive the gift	??????????????????????????
265	Enter your address	???????????	Enter your address	?????????????????
266	Nao pode ser descartado	???????????	Nao pode ser descartado	??????????
267	Nao pode ser vendido	??????????	Nao pode ser vendido	?????????
268	Nao pode ser trocado	????????	Nao pode ser trocado	????????????????
269	Este e um item especial, quer mesmo descartar?	??????????????????????	Este e um item especial, quer mesmo descartar?	????????????????? ????????????????????????????? ?
270	Este item e uma joia, quer mesmo descartar?	?????????????????	Este item e uma joia, quer mesmo descartar?	???????????? ????????????????????????????
271	You do not have any items to trade.	????????????????	You do not have any items to trade.	???????????????????????????
272	Place one item that you want to trade.	????????????????????	Place one item that you want to trade.	???????????????????????????????
273	The option for special event has been turned on.	????????????????????	The option for special event has been turned on.	Option??????????????????? ????????
274	The option for special event has been turned off.	????????????????????	The option for special event has been turned off.	Option??????????????????? ???????
275	Real-time event broadcasting system.	?????????????????	Real-time event broadcasting system.	????????? ???Real-time
276	Vulgar and offensive names wlll be deleted without notice.(Offensive and sexually explicit language, etc)	???????????????????????????	Vulgar and offensive names wlll be deleted without notice.(Offensive and sexually explicit language, etc)	??????????????????? (???? ????????????????????????????? ?????????????) ??????????????????????????????????
277	You do not have any items to trade.	????????????????	You do not have any items to trade.	???????????????????????????
278	Este item e especial, quer mesmo vende-lo?	??????????????????????	Este item e uma joia, quer mesmo vende-lo?	????????????? ????????????????????????????? ?
279	Este item e uma joia, quer mesmo vende-lo?	???????????????? ?	Este item e uma joia, quer mesmo vende-lo?	???????????? ????????????????????????????
280	Taxa total de recuperacao: %d	??????:%d	Taxa total de recuperacao: %d	Taxa total de recuperacao: %d
281	Taxa de Ataque Maximo %d Aumenta	???????? %d	Taxa de Ataque Maximo %d Aumenta	Taxa de Ataque Maximo %d Aumenta
282	Taxa de Ataque %d Aumenta 	??????%d	Taxa de Ataque %d Aumenta 	Taxa de Ataque %d Aumenta
283	Taxa de Ataque %d%% Aumenta	?????? %d%% 	Taxa de Ataque %d%% Aumenta	Taxa de Ataque %d%% Aumenta
284	Ataque Critico Aumenta %d%%	?????????? %d%%	Ataque Critico Aumenta %d%%	Ataque Critico Aumenta %d%%
285	Ataque Golpe Fatal  Aumenta %d%% 	????????? %d%%	              Ataque Golpe Fatal  Aumenta %d%%	Ataque Golpe Fatal  Aumenta %d%%
286	Velocidade de Ataque Aumenta	???????	Velocidade de Ataque Aumenta	Velocidade de Ataque Aumenta
287	Magic Dano in Electric system %d%% added	??????????? %d%%	Magic Dano in Electric system %d%% added	Magic Dano in Electric system %d%% added
288	Magic Dano in Fire System %d%% added	??????????? %d%%	Magic Dano in Fire System %d%% added	Magic Dano in Fire System %d%% added
289	Magic Dano in Rock system %d%% added	???????????%d%% 	Magic Dano in Rock system %d%% added	Magic Dano in Rock system %d%% added
290	Dano Magico Total %d%% added	??????????%d%%	Dano Magico Total %d%% added	Dano Magico Total %d%% added
291	Velocidade de Ataque Magico %d%% Aumenta	????????? %d%%	Velocidade de Ataque Magico %d%% Aumenta	Velocidade de Ataque Magico %d%% Aumenta
292	Inteligencia necessaria %d decreases	?????? %d	Inteligencia necessaria %d decreases	Inteligencia necessaria %d decreases
293	Inteligencia nao e necessaria	??????????	Inteligencia nao e necessaria	Inteligencia nao e necessaria
294	Destreza necessaria %d decreases	??????? %d	Destreza necessaria %d decreases	Destreza necessaria %d decreases
295	Destreza nao e necessaria	???????????	Destreza nao e necessaria	Destreza nao e necessaria
296	Forca necessaria %d decreases	?????? %d	Forca necessaria %d decreases	Forca necessaria %d decreases
297	Forca nao e necessaria	??????????	Forca nao e necessaria	Forca nao e necessaria
298	Nivel necessario %d decreases	????????%d	Nivel necessario %d decreases	Nivel necessario %d decreases
299	Nivel nao e necessario	???????????	Nivel nao e necessario	Nivel nao e necessario
300	Taxa de Defesa Magica %d Aumenta	?????????? %d	Taxa de Defesa Magica %d Aumenta	Taxa de Defesa Magica %d Aumenta
301	Magic Defense Rating in Electric system %d Aumenta	???????????%d	Magic Defense Rating in Electric system %d Aumenta	Magic Defense Rating in Electric system %d Aumenta
302	Magic Defense Rating in Fire system %d Aumenta	???????????%d	Magic Defense Rating in Fire system %d Aumenta	Magic Defense Rating in Fire system %d Aumenta
303	Magic Defense Rating in Rock system %d Aumenta	???????????%d	Magic Defense Rating in Rock system %d Aumenta	Magic Defense Rating in Rock system %d Aumenta
304	Defense Rating in distant combat %d Aumenta	???????? %d	Defense Rating in distant combat %d Aumenta	Defense Rating in distant combat %d Aumenta
305	Defense Rating in close combat %d Aumenta	??????????%d	Defense Rating in close combat %d Aumenta	Defense Rating in close combat %d Aumenta
306	Taxa de Defesa Fisica %d Aumenta	????????%d	Taxa de Defesa Fisica %d Aumenta	Taxa de Defesa Fisica %d Aumenta
307	HP Aumenta %d	?????? %d	HP Aumenta %d	HP Aumenta %d
308	Poder Magico Aumenta %d	????? %d	Poder Magico Aumenta %d	Poder Magico Aumenta %d
309	Stamina Aumenta %d	??????? %d	Stamina Aumenta %d	Stamina Aumenta %d
310	Poder Eletrico %d Aumenta	???????? %d	Poder Eletrico %d Aumenta	Poder Eletrico %d Aumenta
311	Carisma %d Aumenta	?????? %d	Carisma %d Aumenta	Carisma %d Aumenta
312	Constituicao %d Aumenta	????? %d	Constituicao %d Aumenta	Constituicao %d Aumenta
313	Destreza %d Aumenta	?????? %d	Destreza %d Aumenta	Destreza %d Aumenta
314	Forca %d Aumenta	????? %d	Forca %d Aumenta	   Forca %d Aumenta
315	Inteligencia %d Aumenta	????? %d	Inteligencia %d Aumenta	Inteligencia %d Aumenta
316	Lime adquirido %d%% Aumenta	?????????%d%%	Lime adquirido %d%% Aumenta	Lime adquirido %d%% Aumenta
317	Taxa de  experiencia %d%% Aumenta	????????%d%%	Taxa de  experiencia %d%% Aumenta	Taxa de  experiencia %d%% Aumenta
318	Acquired Item rate %d%% Aumenta	????????????%d%%	Acquired Item rate %d%% Aumenta	Acquired Item rate %d%% Aumenta
319	Voce pode redistribuir seus pontos	??????????????	Voce pode redistribuir seus pontos	Voce pode redistribuir seus pontos
320	Quantia de magia usada: %d	?????: %d	Quantia de magia usada: %d	Quantia de magia usada: %d
321	Taxa de Ataque Aumenta em 1.5 vezes	???1.25????	Taxa de Ataque Aumenta em 1.5 vezes	Taxa de Ataque Aumenta em 1.5 vezes
322	can re-distribute Pontos once	???1.25????	can re-distribute Pontos once	???????????????????????????????????????????
